,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
<<<<<<< HEAD
accuracy,0.9105551838874817,0.7891981601715088,0.789852499961853,0.82292240858078,0.9851512312889099,0.9461418390274048,0.8465294241905212,0.8081240057945251,0.9025519490242004,0.9412593841552734,0.9628026485443115,0.8409925699234009,0.8853374719619751,0.9445311427116394,0.9564101099967957,0.9848995804786682,0.9546987414360046,0.9707052111625671,0.8749685287475586,0.8593647480010986,0.9298334121704102,0.9508733153343201,0.9246992468833923,0.9348165392875671,0.7443498969078064,0.9579201340675354,0.7317662239074707,0.9315950870513916,0.9373835921287537,0.957416832447052,0.9131222367286682,0.8334926962852478,0.8402879238128662,0.8815624117851257,0.9851512312889099,0.8801530003547668,0.8789952993392944,0.9488599300384521,0.8510595560073853
equality_gap_0,0.04529845714569092,0.20944666862487793,0.19288194179534912,0.059896111488342285,0.009545683860778809,0.012665092945098877,0.01717287302017212,0.08270001411437988,0.013855814933776855,0.0242307186126709,0.003601968288421631,0.044716835021972656,0.03358727693557739,0.012538313865661621,0.007514655590057373,0.0023793578147888184,0.04051858186721802,0.010342597961425781,0.2393161654472351,0.06518203020095825,0.02628922462463379,0.022535204887390137,0.0001519322395324707,0.5623637437820435,0.0426100492477417,0.00010216236114501953,0.08928710222244263,0.0281563401222229,0.013093948364257812,0.04546302556991577,0.059830546379089355,0.004585862159729004,0.045199036598205566,0.049120962619781494,0.001670539379119873,0.333143413066864,0.0026206374168395996,0.012994349002838135,0.15965130925178528
equality_gap_1,0.3606487512588501,0.4824416935443878,0.12452661991119385,0.11280292272567749,0.34476661682128906,0.13590961694717407,0.22418427467346191,0.17987874150276184,0.04189509153366089,0.463213175535202,0.019994646310806274,0.16671273112297058,0.31911200284957886,0.1493663191795349,0.1398138701915741,0.02188652753829956,0.5799180269241333,0.03352713584899902,0.6148999929428101,0.23466616868972778,0.0674363374710083,0.19441674649715424,0.0033103427849709988,0.06284093856811523,0.18118977546691895,0.01579580269753933,0.20823445916175842,0.29426857829093933,0.1852409690618515,0.6181418895721436,0.12938326597213745,0.09972420334815979,0.04895836114883423,0.3685818910598755,0.03535592555999756,0.4975787401199341,0.007107952143996954,0.36243936419487,0.004834473133087158
parity_gap,0.13265547156333923,0.3308543264865875,0.34718847274780273,0.1247195154428482,0.03228122740983963,0.11412985622882843,0.0032772719860076904,0.19548514485359192,0.10729442536830902,0.2012215256690979,0.006346911191940308,0.12338465452194214,0.11334718018770218,0.03689032047986984,0.02980872243642807,0.09413735568523407,0.13386836647987366,0.04703003168106079,0.6258183717727661,0.2951979637145996,0.11885324120521545,0.042917948216199875,2.2394408006221056e-05,0.33913421630859375,0.09234179556369781,0.0017142340075224638,0.13739033043384552,0.06124427169561386,0.033131737262010574,0.13800646364688873,0.19953873753547668,0.0013048350811004639,0.22698277235031128,0.19393067061901093,0.045177578926086426,0.7274971008300781,0.003506004111841321,0.07256750017404556,0.13999396562576294
=======
accuracy,0.9223838448524475,0.7845673561096191,0.784869372844696,0.8164292573928833,0.9797654151916504,0.9402023553848267,0.8312276601791382,0.812150776386261,0.9056223630905151,0.9260079264640808,0.9607892632484436,0.8406402468681335,0.8876025676727295,0.9462425112724304,0.9596315622329712,0.9715105295181274,0.9555041193962097,0.9694468379020691,0.8571500182151794,0.8629888892173767,0.9015452861785889,0.9522323608398438,0.9253535866737366,0.9448331594467163,0.7439472675323486,0.9607892632484436,0.7353399991989136,0.9330548048019409,0.9418633580207825,0.9564604759216309,0.9110585451126099,0.8196506500244141,0.7809935808181763,0.8630895614624023,0.9853525757789612,0.8488448262214661,0.8797000050544739,0.9366285800933838,0.857552707195282
equality_gap_0,0.03597712516784668,0.28309744596481323,0.3586484491825104,0.04416614770889282,0.000372469425201416,0.013616681098937988,0.09176373481750488,0.11896950006484985,0.043230652809143066,0.08050942420959473,0.003426969051361084,0.014440834522247314,0.031205832958221436,0.020490050315856934,0.015817761421203613,0.0001080632209777832,0.04675436019897461,0.016982972621917725,0.35674387216567993,0.06727766990661621,0.1494198441505432,0.011267602443695068,0.000549018383026123,0.696308434009552,0.054077744483947754,0.01497882604598999,0.09189009666442871,0.004969954490661621,0.01799541711807251,0.06360173225402832,0.07610517740249634,0.02903956174850464,0.02690023183822632,0.13103532791137695,0.0017603635787963867,0.4615648686885834,0.008298754692077637,0.004759073257446289,0.36538052558898926
equality_gap_1,0.43661972880363464,0.5760801434516907,0.26557934284210205,0.19247090816497803,0.029702970758080482,0.08152621984481812,0.023213505744934082,0.34064924716949463,0.1001172661781311,0.4849197268486023,0.04213479161262512,0.0020316243171691895,0.3060872554779053,0.22100406885147095,0.3105611503124237,0.22021877765655518,0.619535505771637,0.22611358761787415,0.3433077335357666,0.15603142976760864,0.14893031120300293,0.13758723437786102,0.010200222954154015,0.05983901023864746,0.21373902261257172,0.2354707419872284,0.1876620352268219,0.14222148060798645,0.2944277226924896,0.697147011756897,0.13366836309432983,0.2463570088148117,0.006201028823852539,0.5308792591094971,0.016931116580963135,0.4756315350532532,0.03642825409770012,0.15176714956760406,0.05292308330535889
parity_gap,0.14696145057678223,0.4219646751880646,0.4779551923274994,0.10759910941123962,0.001773468917235732,0.06453099101781845,0.09790109097957611,0.2548646926879883,0.155192568898201,0.2721174657344818,0.004775231704115868,0.06610460579395294,0.11235244572162628,0.05224400758743286,0.05011993646621704,0.05949968844652176,0.14589737355709076,0.060769177973270416,0.6824897527694702,0.2701517343521118,0.21700257062911987,0.026247339323163033,0.0005321598146110773,0.3586953282356262,0.11258608102798462,0.032004326581954956,0.14375291764736176,0.01995868794620037,0.05013176426291466,0.16599668562412262,0.20965081453323364,0.05665713921189308,0.14282524585723877,0.2844279706478119,0.04335522651672363,0.7421828508377075,0.013848715461790562,0.029824858531355858,0.23489129543304443
>>>>>>> d53f9a1eb60965eb8e88dc9d8cecff32d865c02d
