,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
<<<<<<< HEAD
accuracy,0.9164946675300598,0.8018321990966797,0.791865885257721,0.8291136026382446,0.9829365015029907,0.9424170851707458,0.8505058288574219,0.8130064606666565,0.911561906337738,0.9430210590362549,0.9633563160896301,0.8492475152015686,0.8846328258514404,0.9448834657669067,0.9582725167274475,0.9848995804786682,0.9510746598243713,0.9728192687034607,0.892988383769989,0.8587104082107544,0.9304373860359192,0.9514269828796387,0.9250515699386597,0.939296305179596,0.7428398728370667,0.9616952538490295,0.7295011878013611,0.9375849366188049,0.9403533339500427,0.9556047916412354,0.9207731485366821,0.8399355411529541,0.8543313145637512,0.8802536725997925,0.9884733557701111,0.8887099027633667,0.8799516558647156,0.95867520570755,0.8638445734977722
equality_gap_0,0.04856908321380615,0.3049885630607605,0.32157132029533386,0.06884992122650146,0.002607405185699463,0.009525120258331299,0.030386388301849365,0.08950972557067871,0.04315483570098877,0.04462087154388428,0.0044348835945129395,0.010605573654174805,0.03732377290725708,0.011124610900878906,0.013412237167358398,0.001879870891571045,0.027023136615753174,0.015002071857452393,0.3202327489852905,0.03852987289428711,0.022624671459197998,0.009121417999267578,0.00013488531112670898,0.5427447557449341,0.08827471733093262,0.003590822219848633,0.2528097629547119,0.015679538249969482,0.047515153884887695,0.03469187021255493,0.029826223850250244,0.009776473045349121,0.14146274328231812,0.05706840753555298,0.0055460333824157715,0.45257484912872314,0.0046953558921813965,0.015307903289794922,0.28372105956077576
equality_gap_1,0.41954758763313293,0.6746610403060913,0.203502357006073,0.12368413805961609,0.23019802570343018,0.06479346752166748,0.11955900490283966,0.23008859157562256,0.014399826526641846,0.493587851524353,0.028009742498397827,0.024174511432647705,0.3086599111557007,0.1707545667886734,0.2631155252456665,0.03478449583053589,0.4651639461517334,0.10164561867713928,0.6846494078636169,0.06003737449645996,0.034939348697662354,0.10568295419216156,0.0003273971378803253,0.034345149993896484,0.29036179184913635,0.057286933064460754,0.4289425015449524,0.2965800166130066,0.4909638464450836,0.5347476005554199,0.010173201560974121,0.14280512928962708,0.19868314266204834,0.3610658049583435,0.1233174204826355,0.6085608005523682,0.02398933842778206,0.5065835118293762,0.02145630121231079
parity_gap,0.15133601427078247,0.46148380637168884,0.43994781374931335,0.14552460610866547,0.013478363864123821,0.07145341485738754,0.02784457430243492,0.2152254432439804,0.14615927636623383,0.2371884137392044,0.006585301831364632,0.06397959589958191,0.12297327071428299,0.03370409831404686,0.04168675094842911,0.09119385480880737,0.1028611958026886,0.058135583996772766,0.705572247505188,0.1722579300403595,0.10197654366493225,0.02057223953306675,0.0005463674897328019,0.3147662878036499,0.16291868686676025,0.011318904347717762,0.3334462642669678,0.04780226945877075,0.09913226217031479,0.1155119389295578,0.10030034184455872,0.005903914570808411,0.33536356687545776,0.21564888954162598,0.0563666857779026,0.7959214448928833,0.008502059616148472,0.09910837560892105,0.19718033075332642
=======
accuracy,0.915437638759613,0.7967987060546875,0.7729904055595398,0.8209090232849121,0.9858055710792542,0.927618682384491,0.8544822931289673,0.8093823790550232,0.9010922312736511,0.9255046248435974,0.9618965983390808,0.8455730676651001,0.8921326994895935,0.9451351165771484,0.9577188491821289,0.9878693222999573,0.951779305934906,0.9697487950325012,0.8226707577705383,0.8591130971908569,0.9281723499298096,0.950520932674408,0.9258569478988647,0.887350857257843,0.7492324113845825,0.9610409140586853,0.7342326641082764,0.9363265633583069,0.9377862811088562,0.9512256383895874,0.9138269424438477,0.831177294254303,0.8622841835021973,0.879548966884613,0.9885236620903015,0.8146172165870667,0.8794482946395874,0.9558060765266418,0.8325363397598267
equality_gap_0,0.038276731967926025,0.14978939294815063,0.10815566778182983,0.062207579612731934,0.00969153642654419,0.0008249282836914062,0.010079264640808105,0.1265949010848999,0.034697115421295166,0.024428606033325195,0.005374610424041748,0.03356260061264038,0.0208437442779541,0.023491859436035156,0.012497544288635254,0.010233938694000244,0.03784304857254028,0.007761895656585693,0.15537244081497192,0.05748683214187622,0.02957671880722046,0.029066801071166992,0.0018178224563598633,0.6636101007461548,0.09090334177017212,0.000939488410949707,0.07758581638336182,0.023157894611358643,0.024501562118530273,0.02164226770401001,0.014682173728942871,0.06121933460235596,0.14749765396118164,0.03816878795623779,0.0067026615142822266,0.20387333631515503,0.00010919570922851562,0.015880048274993896,0.030173003673553467
equality_gap_1,0.4007682502269745,0.4060920774936676,0.15890473127365112,0.09689846634864807,0.39674681425094604,0.035657525062561035,0.29390621185302734,0.2065238356590271,0.13556605577468872,0.33934399485588074,0.005075782537460327,0.11549672484397888,0.2535608112812042,0.1711176633834839,0.15391109883785248,0.11298465728759766,0.5539617538452148,0.05294162034988403,0.6330405473709106,0.034340620040893555,0.033111751079559326,0.23928214609622955,0.010614924132823944,0.005611300468444824,0.30673718452453613,0.06343922764062881,0.18544802069664001,0.23261527717113495,0.27786144614219666,0.476956844329834,0.024507105350494385,0.2067076861858368,0.2853471040725708,0.41852304339408875,0.08055311441421509,0.3849257826805115,0.0008884940179996192,0.4989604949951172,0.04467654228210449
parity_gap,0.13806159794330597,0.27043500542640686,0.31353461742401123,0.1284525841474533,0.03488640859723091,0.0632217526435852,0.030647411942481995,0.251311719417572,0.14565123617649078,0.1707785278558731,0.009406715631484985,0.10600081086158752,0.11167025566101074,0.05725065618753433,0.04319750890135765,0.1158817932009697,0.1267990618944168,0.04387269914150238,0.4737382233142853,0.1498514711856842,0.04227378964424133,0.05397461727261543,0.0034450802486389875,0.2725819945335388,0.1713147908449173,0.006873310077935457,0.12446483969688416,0.05441960692405701,0.053992461413145065,0.09435287863016129,0.11258190870285034,0.1158808171749115,0.34837645292282104,0.1747497320175171,0.0591433048248291,0.5474596619606018,0.00026295031420886517,0.09789355844259262,0.07693642377853394
